rank, player_id, score, time, spm
193,l_RedEyedJedi_l,165934153,4641:25:00,595.85
194,LIKE_A_VIRRGIN,165929046,3080:48:20,897.65
195,mantas1444444444,164997152,2472:26:20,1112.24
196,gt1922,164994916,3331:43:20,825.37
197,Vexed-Infernos,164948536,2454:35:50,1120
198,hack-akira,164478930,3332:56:40,822.49
199,HIKAKIN-net,164426815,3790:45:00,722.93
200,Jeepers_x,164230534,4303:23:20,636.05
201,E_a_g_l_e-13,163626935,3842:41:40,709.69
202,AsbachUnited,163621007,3911:41:40,697.14
203,Chainsaw_Bizkt,163378051,4439:51:40,613.3
204,uciuuu,163294952,2930:26:40,928.73
205,frejcik21killsag,163109684,3961:10:00,686.29
206,SuipadeyPlz8th,163065332,2727:49:00,996.31
207,RusBoy_Nagibator,163026659,7373:11:40,368.51
208,i_RT16,162458551,3888:21:40,696.35
209,Warrior_Of_Yemen,162232633,4476:56:40,603.96
210,BASILISK0309,161963226,3029:35:00,891.01
211,EdMagn,161669764,4305:55:00,625.77
212,Mattia702,161486628,3940:31:40,683.02
213,MERCURY_039301,161467172,3137:18:20,857.78
214,Dodobeth,161451770,4081:41:40,659.25
215,blyth9,161441405,4298:41:40,625.93
216,no_name2300,161388065,2992:40:00,898.8
217,LPMAJIC83,160873933,3693:53:20,725.86
218,wolfcookies609,160851998,3454:48:20,775.98
219,AlejandroCruz199,160668581,3247:08:20,824.67
220,Freezer_69,160614421,4008:51:40,667.75
221,cokemountamdew8,160349769,3157:55:00,846.28
222,IPsYkk,160128054,3439:10:00,776
223,sod72,159888391,4470:08:20,596.14
224,geordiemick-1977,159726288,3866:41:40,688.47
225,OutstandingOdens,159684544,2843:56:40,935.82
226,xAPEX-BLAZ3x,159221870,4832:06:40,549.18
227,Nyyppa77,159156299,3963:48:20,669.21
228,DenverLuke333,157880577,8365:31:40,314.55
229,OTTHMANN,157735880,4525:31:40,580.91
230,SS_stormtrooper2,157717666,2982:13:20,881.43
231,dududocavacogyn,157386950,5573:16:40,470.66
232,DiGiMoN_Sn4rFx,155920847,2343:00:30,1109.12
233,AL-TAMAYOZ,155755485,4115:25:00,630.78
234,Doktor-mexo,155754989,4040:30:00,642.47
